PESEL;Imie;Nazwisko;Plec;Email;Numer_telefonu;Data_urodzenia;Data_zatrudnienia;Data_zwolnienia
80071603942;Błażej;Wardziak;K;lewkoida@example.net;+48 794 324 999;1980-07-16;2005-07-02;
88040256250;Krzysztof;Nicewicz;M;agnieszka16@example.net;+48 720 904 891;1988-04-02;2014-08-17;
65072880097;Emil;Łuczkiewicz;K;switjulianna@example.org;+48 791 427 014;1965-07-28;1990-01-01;
75112224677;Kajetan;Gaś;M;hellertomasz@example.org;+48 503 299 533;1975-11-22;2022-11-23;
69110244735;Kornelia;Romejko;M;ignacynalewajek@example.org;+48 32 590 15 40;1969-11-02;2021-05-30;
91061731286;Sebastian;Korbut;K;mjanasz@example.org;607 510 295;1991-06-17;2009-10-26;
62111111033;Ida;Paluszak;K;zawartkakaja@example.net;795 590 690;1962-11-11;1994-10-04;
86080286358;Mateusz;Szajek;K;bogusjan@example.org;+48 789 393 756;1986-08-02;2005-11-15;
61012050906;Karol;Minkina;M;ingazuziak@example.net;605 195 165;1961-01-20;1985-07-20;1992-10-13
90021293884;Blanka;Siudek;M;nataniel02@example.com;+48 883 075 129;1990-02-12;2019-11-15;
83060527533;Ryszard;Kapciak;M;ahadas@example.org;736 166 938;1983-06-05;2011-04-20;
96052897976;Michał;Musiolik;K;alex05@example.net;887 248 205;1996-05-28;2018-07-14;
69122040620;Józef;Drążyk;M;patrykpatrzalek@example.net;880 950 282;1969-12-20;2012-02-13;2021-04-04
95100561881;Dagmara;Gamrat;K;rkurpanik@example.com;737 856 302;1995-10-05;2024-03-04;
67101717837;Ewelina;Cieniuch;K;bystrondamian@example.net;880 588 325;1967-10-17;2014-04-28;
80060179906;Angelika;Kocoł;M;aosipiuk@example.com;882 054 615;1980-06-01;2015-03-03;
98011689125;Witold;Czerniec;K;krystyna38@example.com;696 173 240;1998-01-16;2024-06-04;
67050441153;Ewelina;Capiga;K;leon56@example.com;+48 882 859 635;1967-05-04;2014-01-29;
86041311866;Wiktor;Winnik;K;hulfik@example.com;788 153 681;1986-04-13;2014-12-08;2019-04-21
90081532875;Rozalia;Klos;K;mazepakornel@example.org;572 427 493;1990-08-15;2015-03-29;
