ID_spotkania;Data_spotkania;PESEL_klienta;PESEL_agenta;Ocena_agenta
1;21.11.2025;66012424140;98011689125;7.2
2;15.11.2025;85061477657;69122040620;2.2
3;09.12.2025;87102984782;83060527533;6.7
4;18.12.2025;79102745584;95100561881;1.8
5;04.11.2025;82050475104;88040256250;5.0
6;18.12.2025;85061477657;62111111033;6.2
7;21.10.2025;63111112284;80071603942;4.6
8;01.12.2025;79102745584;86080286358;5.0
9;17.11.2025;85061477657;67050441153;8.2
10;15.12.2025;85102131371;86080286358;8.8
11;12.12.2025;85061477657;98011689125;3.3
12;15.11.2025;64051649528;69110244735;6.3
13;19.11.2025;79090833393;95100561881;2.9
14;01.11.2025;89072650748;67050441153;5.4
15;28.11.2025;79090833393;69110244735;8.4
16;14.11.2025;87011646025;91061731286;9.2
17;22.10.2025;85091172005;96052897976;9.3
18;15.12.2025;89072650748;90021293884;6.3
19;03.11.2025;85102131371;75112224677;9.6
20;25.11.2025;70121514672;83060527533;7.4
21;04.12.2025;85091172005;62111111033;3.4
22;18.11.2025;82103022622;83060527533;6.3
23;28.11.2025;90011548075;95100561881;5.6
24;14.11.2025;89072650748;80060179906;3.8
25;14.12.2025;82050475104;62111111033;6.8
26;12.11.2025;85091172005;86080286358;5.1
27;30.10.2025;89072650748;65072880097;1.7
28;30.11.2025;63111112284;96052897976;7.3
29;06.12.2025;82050475104;67050441153;8.3
30;10.11.2025;85061477657;62111111033;2.5
31;28.10.2025;89072650748;98011689125;8.2
32;09.12.2025;76050982184;83060527533;5.5
33;28.11.2025;64051649528;96052897976;8.1
34;03.12.2025;85061477657;69110244735;2.8
35;10.11.2025;77082131098;86041311866;3.5
36;01.12.2025;76050982184;83060527533;4.6
37;05.12.2025;85091172005;83060527533;8.5
38;20.11.2025;90011548075;96052897976;2.6
39;22.11.2025;76050982184;69110244735;9.4
40;27.11.2025;87011646025;83060527533;8.3
41;09.11.2025;66012424140;80071603942;1.0
42;12.11.2025;76050982184;61012050906;5.5
43;16.11.2025;79102745584;95100561881;6.1
44;09.12.2025;70121514672;67101717837;5.4
45;21.11.2025;77082131098;88040256250;2.4
46;07.11.2025;66012424140;91061731286;2.6
47;29.10.2025;77082131098;61012050906;2.1
48;07.12.2025;82050475104;86041311866;7.5
49;22.10.2025;85061477657;69122040620;2.5
50;18.11.2025;85102131371;67050441153;1.1
